date,max_temp,min_temp,avg_temp
2026-09-13,27.1,17.5,22.3
2026-09-14,28.9,18.2,23.549999999999997
2026-09-15,32.8,17.9,25.349999999999998
2026-09-16,22.0,14.8,18.4
2026-09-17,21.9,13.8,17.85
2026-09-18,21.8,13.0,17.4
2026-09-19,25.0,14.0,19.5
2026-09-20,22.5,15.8,19.15
